run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,source_method,source_method_config,source_run_dir,stage0_5_variant
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,0,300,699,30.0,70.0,0.30415447307467025,confirmed_anchor_selected_proxy_expand,80,3|4|5|6,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,1,900,999,90.0,100.0,0.2921969348167256,confirmed_anchor_selected_proxy_expand,80,9,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,2,1200,1299,120.0,130.0,0.3507529698913206,confirmed_anchor_selected_proxy_expand,80,12,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,3,3800,3999,380.0,400.0,0.3057345168207979,confirmed_anchor_selected_proxy_expand,80,38|39,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,4,4800,5099,480.0,510.0,0.3848777951027265,confirmed_anchor_selected_proxy_expand,80,48|49|50,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,5,5600,5899,560.0,590.0,0.3292559331111777,confirmed_anchor_selected_proxy_expand,80,56|57|58,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,6,7000,7199,700.0,720.0,0.392924354368701,confirmed_anchor_selected_proxy_expand,80,70|71,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,7,7500,7799,750.0,780.0,0.3515630957703566,confirmed_anchor_selected_proxy_expand,80,75|76|77,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,8,8100,8199,810.0,820.0,0.4720638864573329,confirmed_anchor_selected_proxy_expand,80,81,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,9,8300,8799,830.0,880.0,0.4424624222514992,confirmed_anchor_selected_proxy_expand,80,83|84|85|86|87,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,10,8600,8899,860.0,890.0,0.497374862973885,confirmed_anchor_selected_proxy_expand,80,86|87|88,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,11,9800,9899,980.0,990.0,0.3893362928575637,confirmed_anchor_selected_proxy_expand,80,98,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,12,10600,10699,1060.0,1070.0,0.379637015441183,confirmed_anchor_selected_proxy_expand,80,106,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
repaired_selected_expand_b80_s4,repaired_selected_expand,80,realcartest,13,11100,11199,1110.0,1120.0,0.4097589050237029,confirmed_anchor_selected_proxy_expand,80,111,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b80_s4,common_materializer_selected_expand
