query_id,budget,rank,anchor_id,video_id,t_start,t_end,duration,score_column,score,source_video_path,clip_path,clip_export_status
dangerous_segments_enter_ego_path_v0,40,1,center10_anchor_0288,realcartest,2880.000,2890.000,10.000,yolo_vehicle_max,18.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank001_center10_anchor_0288_2880.0_2890.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,2,center10_anchor_0111,realcartest,1110.000,1120.000,10.000,yolo_vehicle_max,14.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank002_center10_anchor_0111_1110.0_1120.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,3,center10_anchor_0117,realcartest,1170.000,1180.000,10.000,yolo_vehicle_max,14.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank003_center10_anchor_0117_1170.0_1180.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,4,center10_anchor_0249,realcartest,2490.000,2500.000,10.000,yolo_vehicle_max,14.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank004_center10_anchor_0249_2490.0_2500.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,5,center10_anchor_0281,realcartest,2810.000,2820.000,10.000,yolo_vehicle_max,14.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank005_center10_anchor_0281_2810.0_2820.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,6,center10_anchor_0345,realcartest,3450.000,3460.000,10.000,yolo_vehicle_max,14.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank006_center10_anchor_0345_3450.0_3460.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,7,center10_anchor_0126,realcartest,1260.000,1270.000,10.000,yolo_vehicle_max,13.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank007_center10_anchor_0126_1260.0_1270.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,8,center10_anchor_0190,realcartest,1900.000,1910.000,10.000,yolo_vehicle_max,13.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank008_center10_anchor_0190_1900.0_1910.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,9,center10_anchor_0266,realcartest,2660.000,2670.000,10.000,yolo_vehicle_max,13.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank009_center10_anchor_0266_2660.0_2670.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,10,center10_anchor_0359,realcartest,3590.000,3600.000,10.000,yolo_vehicle_max,13.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank010_center10_anchor_0359_3590.0_3600.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,11,center10_anchor_0002,realcartest,20.000,30.000,10.000,yolo_vehicle_max,12.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank011_center10_anchor_0002_20.0_30.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,12,center10_anchor_0007,realcartest,70.000,80.000,10.000,yolo_vehicle_max,12.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank012_center10_anchor_0007_70.0_80.0.mp4,SKIPPED_INTERVAL_ONLY
dangerous_segments_enter_ego_path_v0,40,13,center10_anchor_0051,realcartest,510.000,520.000,10.000,yolo_vehicle_max,12.000000,/qiuyeqing/llama_prl/G-ARC/try_or_no/videos/realcartest.mp4,/qiuyeqing/llama_prl/G-ARC/outputs/query_runtime_v1/clips/dangerous_segments_enter_ego_path_v0_rank013_center10_anchor_0051_510.0_520.0.mp4,SKIPPED_INTERVAL_ONLY
