regime,video_id,axis,level,construction,seed,GT_blind_construction,original_candidate_rows,candidate_rows,structural_candidate_coverage,score_min,score_mean,score_max,regime_table_hash
R0_ORIGINAL,DALI,none,original,Frozen prospective YOLO proxy and complete one-candidate-per-unit universe.,20260811,True,567,567,1.0,0.0,0.601324116022078,0.9568151831626892,7f45f7f34d1faeb84ce55f04198a95bf7e86cf80170e02b6cdc7b12c998b1aa9
R0_ORIGINAL,HANGZHOU,none,original,Frozen prospective YOLO proxy and complete one-candidate-per-unit universe.,20260811,True,561,561,1.0,0.0,0.5351593772039057,0.9614083170890808,0da9a2784a786b17df66731090b2538abd321cabf69b0edec5f7eebbe464e40f
R0_ORIGINAL,WUHAN,none,original,Frozen prospective YOLO proxy and complete one-candidate-per-unit universe.,20260811,True,347,347,1.0,0.0,0.5147209166363955,0.834158593416214,c3682de1541e48705d5d0a6132ac46758f60cc6e73e1e861ff68bce0273166a7
R1_RANK_MILD_A025,DALI,ranking,mild,"score=(1-0.25)*original+0.25*SHA256-uniform(candidate_id,seed); full exposure.",20260811,True,567,567,1.0,0.04731022281966511,0.5692597206771789,0.9138573271855995,5b9fb710a13b714a53369cb9541a8691139e5b7a272e584310a41cc774274eaa
R1_RANK_MILD_A025,HANGZHOU,ranking,mild,"score=(1-0.25)*original+0.25*SHA256-uniform(candidate_id,seed); full exposure.",20260811,True,561,561,1.0,0.01610463444005082,0.525334454929568,0.8894931148289312,454fe3f21c7491a8b7ae99953ad965108a6ca8de90aa4a61a900521659c22c29
R1_RANK_MILD_A025,WUHAN,ranking,mild,"score=(1-0.25)*original+0.25*SHA256-uniform(candidate_id,seed); full exposure.",20260811,True,347,347,1.0,0.004292738856540665,0.5075290013087634,0.8408233175934101,58f2196a2746dd3309bbb085a451b3edd3ee8719c8ea4bce46f2dc151d5cdfbe
R2_RANK_MEDIUM_A050,DALI,ranking,medium,"score=(1-0.50)*original+0.50*SHA256-uniform(candidate_id,seed); full exposure.",20260811,True,567,567,1.0,0.07898156967895405,0.5524101621899749,0.9165945407868231,2ae9364318159c6707966e7e9beba9185f6a2120ed078754a6c577c458732a21
R2_RANK_MEDIUM_A050,HANGZHOU,ranking,medium,"score=(1-0.50)*original+0.50*SHA256-uniform(candidate_id,seed); full exposure.",20260811,True,561,561,1.0,0.012383680887654255,0.5051415422771978,0.8860897726714967,342ab932539f5f76d3318b3f8d2faec346b842ecadbe44138ed4aef598418b28
R2_RANK_MEDIUM_A050,WUHAN,ranking,medium,"score=(1-0.50)*original+0.50*SHA256-uniform(candidate_id,seed); full exposure.",20260811,True,347,347,1.0,0.09863743002885533,0.5101422525687526,0.8506800645635395,cf2461878b7c455560465e2b63961ab5d3d3f22fadb4a44acc60f5023e1b7b70
R3_RANK_SEVERE_HASH,DALI,ranking,severe,"score=SHA256-uniform(candidate_id,seed); full exposure and no semantic-label input.",20260811,True,567,567,1.0,0.003549252381695462,0.4954537093117646,0.9972369671752347,db1fb1ff0431e079baac6317b48ed07a8640a970a80f7ebab6a2b18aec9f2fa1
R3_RANK_SEVERE_HASH,HANGZHOU,ranking,severe,"score=SHA256-uniform(candidate_id,seed); full exposure and no semantic-label input.",20260811,True,561,561,1.0,0.0018834498764266744,0.46317419222461054,0.9992184816846413,143ef9b3c65200ad49c9290d1f184e9bd9861a196b306b4ce2c16b5cc3c45d86
R3_RANK_SEVERE_HASH,WUHAN,ranking,severe,"score=SHA256-uniform(candidate_id,seed); full exposure and no semantic-label input.",20260811,True,347,347,1.0,0.007920445716906956,0.4884129309007606,0.9942494294509105,3dafc9f28f1253e875008228ebece12a38d7139e4d1d5b05995afff46f5c8d15
E1_EXPOSURE_MILD_KEEP080,DALI,exposure,mild,"Keep candidate iff SHA256-uniform(candidate_id,seed,exposure)<0.80; retain original score.",20260811,True,567,441,0.7777777777777778,0.0,0.5988521292096093,0.9568151831626892,737280f8389d12cef99bb35dd740419293a51cfe3397728db5512147df3a263d
